\fixlen = T
|set|Period       |Power       |
|int|double       |double      |
 0   3.0000000000  0.8565340793 
 0   3.1000000000  0.3710698952 
 0   3.2000000000  0.1109425963 
 0   3.3000000000  0.0735203028 
 0   3.4000000000  0.0686396208 
 0   3.5000000000  0.8398263585 
 0   3.6000000000  1.4909357744 
 0   3.7000000000  1.5444520512 
 0   3.8000000000  1.8538357305 
 0   3.9000000000  1.2159803206 
 0   4.0000000000  0.6350820184 
 0   4.1000000000  0.4101114384 
 0   4.2000000000  0.1679302537 
 0   4.3000000000  0.0578784849 
 0   4.4000000000  0.0718721521 
 0   4.5000000000  0.3562984654 
 0   4.6000000000  0.8424033362 
 0   4.7000000000  1.0147160285 
 0   4.8000000000  0.7679055253 
 0   4.9000000000  0.4011414977 
 0   5.0000000000  0.1308783102 
 0   5.1000000000  0.0459201313 
 0   5.2000000000  0.2332542113 
 0   5.3000000000  0.7653006929 
 0   5.4000000000  1.6060010785 
 0   5.5000000000  2.5347088175 
 0   5.6000000000  3.2353138992 
 0   5.7000000000  3.5545283744 
 0   5.8000000000  3.5547827585 
 0   5.9000000000  3.3431106258 
 0   6.0000000000  2.9817031917 
 0   6.1000000000  2.5285566541 
 0   6.2000000000  2.0611699498 
 0   6.3000000000  1.6282071333 
 0   6.4000000000  1.2298029902 
 0   6.5000000000  0.8519628948 
 0   6.6000000000  0.5037769615 
 0   6.7000000000  0.2251233188 
 0   6.8000000000  0.0557991628 
 0   6.9000000000  0.0008824896 
 0   7.0000000000  0.0342736277 
 0   7.1000000000  0.1238672749 
 0   7.2000000000  0.2447119866 
 0   7.3000000000  0.3755220005 
 0   7.4000000000  0.4898646107 
 0   7.5000000000  0.5574829565 
 0   7.6000000000  0.5637377171 
 0   7.7000000000  0.5233046787 
 0   7.8000000000  0.4644490334 
 0   7.9000000000  0.4075401638 
 0   8.0000000000  0.3604277423 
 0   8.1000000000  0.3233795880 
 0   8.2000000000  0.2936111682 
 0   8.3000000000  0.2673043392 
 0   8.4000000000  0.2400796526 
 0   8.5000000000  0.2071119697 
 0   8.6000000000  0.1643020773 
 0   8.7000000000  0.1121102599 
 0   8.8000000000  0.0601170712 
 0   8.9000000000  0.0230259922 
 0   9.0000000000  0.0075972643 
 0   9.1000000000  0.0089204821 
 0   9.2000000000  0.0185674941 
 0   9.3000000000  0.0305823708 
 0   9.4000000000  0.0420417965 
 0   9.5000000000  0.0518527228 
 0   9.6000000000  0.0597694066 
 0   9.7000000000  0.0658742518 
 0   9.8000000000  0.0703474294 
 0   9.9000000000  0.0733763561 
 0   10.0000000000 0.0751265219 
 0   10.1000000000 0.0757377454 
 0   10.2000000000 0.0753299365 
 0   10.3000000000 0.0740109276 
 0   10.4000000000 0.0718826331 
 0   10.5000000000 0.0690440026 
 0   10.6000000000 0.0655910779 
 0   10.7000000000 0.0616157308 
 0   10.8000000000 0.0572049182 
 0   10.9000000000 0.0524416154 
 0   11.0000000000 0.0474076037 
 0   11.1000000000 0.0421875629 
 0   11.2000000000 0.0368736693 
 0   11.3000000000 0.0315699530 
 0   11.4000000000 0.0263958163 
 0   11.5000000000 0.0214882147 
 0   11.6000000000 0.0170020307 
 0   11.7000000000 0.0131081950 
 0   11.8000000000 0.0099891977 
 0   11.9000000000 0.0078318725 
 0   12.0000000000 0.0068177561 
 0   12.1000000000 0.0071119012 
 0   12.2000000000 0.0088516141 
 0   12.3000000000 0.0121370078 
 0   12.4000000000 0.0170252831 
 0   12.5000000000 0.0235301409 
 0   12.6000000000 0.0316267643 
 0   12.7000000000 0.0412616375 
 0   12.8000000000 0.0523654624 
 0   12.9000000000 0.0648669122 
 0   13.0000000000 0.0787050331 
 0   13.1000000000 0.0938386674 
 0   13.2000000000 0.1102520709 
 0   13.3000000000 0.1279566673 
 0   13.4000000000 0.1469894453 
 0   13.5000000000 0.1674087960 
 0   13.6000000000 0.1892886508 
 0   13.7000000000 0.2127116881 
 0   13.8000000000 0.2377622207 
 0   13.9000000000 0.2645192098 
 0   14.0000000000 0.2930497185 
 0   14.1000000000 0.3234030224 
 0   14.2000000000 0.3556055333 
 0   14.3000000000 0.3896566643 
 0   14.4000000000 0.4255257354 
 0   14.5000000000 0.4631500088 
 0   14.6000000000 0.5024339116 
 0   14.7000000000 0.5432494717 
 0   14.8000000000 0.5854379522 
 0   14.9000000000 0.6288126066 
 0   15.0000000000 0.6731624372 
 0   15.1000000000 0.7182567709 
 0   15.2000000000 0.7638504365 
 0   15.3000000000 0.8096892906 
 0   15.4000000000 0.8555158329 
 0   15.5000000000 0.9010746572 
 0   15.6000000000 0.9461175098 
 0   15.7000000000 0.9904077714 
 0   15.8000000000 1.0337242221 
 0   15.9000000000 1.0758640083 
 0   16.0000000000 1.1166447849 
 0   16.1000000000 1.1559060493 
 0   16.2000000000 1.1935097302 
 0   16.3000000000 1.2293401197 
 0   16.4000000000 1.2633032583 
 0   16.5000000000 1.2953258886 
 0   16.6000000000 1.3253540971 
 0   16.7000000000 1.3533517489 
 0   16.8000000000 1.3792988187 
 0   16.9000000000 1.4031896950 
 0   17.0000000000 1.4250315225 
 0   17.1000000000 1.4448426364 
 0   17.2000000000 1.4626511145 
 0   17.3000000000 1.4784934728 
 0   17.4000000000 1.4924135089 
 0   17.5000000000 1.5044612935 
 0   17.6000000000 1.5146923006 
 0   17.7000000000 1.5231666641 
 0   17.8000000000 1.5299485432 
 0   17.9000000000 1.5351055797 
 0   18.0000000000 1.5387084266 
 0   18.1000000000 1.5408303326 
 0   18.2000000000 1.5415467632 
 0   18.3000000000 1.5409350474 
 0   18.4000000000 1.5390740347 
 0   18.5000000000 1.5360437554 
 0   18.6000000000 1.5319250746 
 0   18.7000000000 1.5267993412 
 0   18.8000000000 1.5207480217 
 0   18.9000000000 1.5138523280 
 0   19.0000000000 1.5061928348 
 0   19.1000000000 1.4978490945 
 0   19.2000000000 1.4888992511 
 0   19.3000000000 1.4794196615 
 0   19.4000000000 1.4694845290 
 0   19.5000000000 1.4591655532 
 0   19.6000000000 1.4485316058 
 0   19.7000000000 1.4376484334 
 0   19.8000000000 1.4265783928 
 0   19.9000000000 1.4153802255 
 0   20.0000000000 1.4041088686 
 0   20.1000000000 1.3928153066 
 0   20.2000000000 1.3815464653 
 0   20.3000000000 1.3703451451 
 0   20.4000000000 1.3592499939 
 0   20.5000000000 1.3482955176 
 0   20.6000000000 1.3375121249 
 0   20.7000000000 1.3269262037 
 0   20.8000000000 1.3165602259 
 0   20.9000000000 1.3064328772 
 0   21.0000000000 1.2965592067 
 0   21.1000000000 1.2869507953 
 0   21.2000000000 1.2776159365 
 0   21.3000000000 1.2685598287 
 0   21.4000000000 1.2597847740 
 0   21.5000000000 1.2512903824 
 0   21.6000000000 1.2430737763 
 0   21.7000000000 1.2351297970 
 0   21.8000000000 1.2274512070 
 0   21.9000000000 1.2200288899 
 0   22.0000000000 1.2128520447 
 0   22.1000000000 1.2059083744 
 0   22.2000000000 1.1991842677 
 0   22.3000000000 1.1926649732 
 0   22.4000000000 1.1863347662 
 0   22.5000000000 1.1801771083 
 0   22.6000000000 1.1741747977 
 0   22.7000000000 1.1683101123 
 0   22.8000000000 1.1625649461 
 0   22.9000000000 1.1569209365 
 0   23.0000000000 1.1513595852 
 0   23.1000000000 1.1458623720 
 0   23.2000000000 1.1404108615 
 0   23.3000000000 1.1349868041 
 0   23.4000000000 1.1295722293 
 0   23.5000000000 1.1241495352 
 0   23.6000000000 1.1187015690 
 0   23.7000000000 1.1132117052 
 0   23.8000000000 1.1076639158 
 0   23.9000000000 1.1020428356 
 0   24.0000000000 1.0963338237 
 0   24.1000000000 1.0905230166 
 0   24.2000000000 1.0845973787 
 0   24.3000000000 1.0785447464 
 0   24.4000000000 1.0723538662 
 0   24.5000000000 1.0660144286 
 0   24.6000000000 1.0595170956 
 0   24.7000000000 1.0528535235 
 0   24.8000000000 1.0460163793 
 0   24.9000000000 1.0389993524 
